date,CSI1000,CSI500,CYB,HS300,SH50
2013-05-23,4089.159,3724.229,1042.897,2582.849,1823.737
2013-05-24,4160.953,3782.071,1073.782,2597.228,1829.141
2013-05-27,4210.934,3820.427,1089.724,2599.587,1827.263
2013-05-28,4179.855,3827.782,1059.002,2644.359,1870.094
2013-05-29,4213.764,3856.319,1065.96,2642.561,1861.702
2013-05-30,4231.042,3865.134,1073.869,2634.323,1855.456
2013-05-31,4210.967,3841.218,1073.023,2606.426,1841.366
2013-06-03,4172.688,3814.51,1052.136,2602.623,1838.64
2013-06-04,4080.089,3739.724,1022.46,2565.666,1819.503
2013-06-05,4104.911,3755.148,1032.756,2560.539,1806.821
2013-06-06,4036.815,3688.736,1022.13,2527.845,1784.702
2013-06-07,3985.51,3616.21,1030.139,2484.16,1760.224
2013-06-13,3887.745,3515.05,1029.275,2399.937,1700.802
2013-06-14,3975.523,3584.978,1068.147,2416.771,1704.147
2013-06-17,3996.336,3593.371,1073.691,2403.839,1692.476
2013-06-18,4005.139,3605.758,1072.93,2418.745,1704.222
2013-06-19,3987.299,3583.298,1067.625,2400.765,1687.613
2013-06-20,3860.886,3465.004,1029.528,2321.466,1631.554
2013-06-21,3833.822,3446.483,1025.497,2317.394,1633.164
2013-06-24,3604.749,3232.962,971.454,2171.21,1525.166
2013-06-25,3602.569,3219.134,984.746,2165.421,1526.803
2013-06-26,3697.963,3285.818,1038.976,2168.297,1509.682
2013-06-27,3625.677,3233.222,1022.503,2160.735,1512.204
2013-06-28,3602.107,3235.978,1011.658,2200.639,1552.383
2013-07-01,3693.602,3304.591,1055.839,2213.317,1549.374
2013-07-02,3769.933,3359.053,1083.248,2221.984,1541.341
2013-07-03,3780.596,3364.184,1104.578,2203.828,1522.911
2013-07-04,3795.61,3390.488,1087.904,2221.979,1535.321
2013-07-05,3756.334,3371.529,1057.273,2226.849,1542.049
2013-07-08,3620.65,3240.477,1030.604,2163.619,1506.727
2013-07-09,3650.696,3259.911,1050.715,2162.669,1505.299
2013-07-10,3751.047,3361.395,1068.857,2224.065,1546.743
2013-07-11,3832.034,3455.884,1080.782,2326.688,1635.66
2013-07-12,3829.195,3425.135,1096.296,2275.373,1587.589
2013-07-15,3923.381,3493.441,1139.567,2307.297,1604.662
2013-07-16,3966.64,3536.313,1143.195,2317.848,1606.341
2013-07-17,3908.83,3485.074,1129.48,2282.836,1582.141
2013-07-18,3911.198,3481.201,1127.966,2245.328,1549.348
2013-07-19,3832.159,3394.306,1116.005,2190.478,1511.4
2013-07-22,3919.302,3461.281,1153.772,2202.189,1514.052
2013-07-23,4015.217,3544.966,1178.588,2265.845,1555.837
2013-07-24,4057.864,3566.282,1203.308,2249.151,1532.353
2013-07-25,3963.314,3498.242,1150.387,2237.683,1529.299
2013-07-26,3968.932,3494.159,1158.354,2224.008,1521.612
2013-07-29,3901.096,3426.593,1136.984,2175.97,1484.21
2013-07-30,3882.32,3411.219,1124.102,2189.388,1500.938
2013-07-31,3900.485,3430.743,1134.015,2193.021,1504.167
2013-08-01,4026.471,3521.152,1190.113,2245.364,1537.81
2013-08-02,4038.773,3533.609,1188.851,2247.263,1536.505
2013-08-05,4102.126,3592.538,1202.832,2278.329,1554.188
2013-08-06,4146.665,3631.124,1211.782,2293.641,1556.297
2013-08-07,4094.321,3596.318,1175.702,2280.623,1551.155
2013-08-08,4113.071,3605.85,1185.955,2276.782,1544.624
2013-08-09,4113.434,3618.744,1172.519,2286.01,1553.044
2013-08-12,4146.487,3676.195,1161.872,2352.794,1610.265
2013-08-13,4178.394,3695.552,1172.329,2359.068,1619.743
2013-08-14,4175.447,3681.082,1180.656,2349.08,1610.218
2013-08-15,4131.229,3631.321,1167.094,2321.576,1595.152
2013-08-16,4032.384,3554.348,1132.086,2304.144,1592.794
2013-08-19,4129.44,3609.028,1171.402,2331.43,1608.865
2013-08-20,4141.531,3599.637,1175.783,2312.465,1594.54
2013-08-21,4164.533,3627.501,1181.34,2308.589,1588.081
2013-08-22,4181.358,3636.469,1197.134,2303.932,1582.618
2013-08-23,4184.816,3627.97,1219.825,2286.929,1566.293
2013-08-26,4267.371,3703.593,1238.172,2335.616,1601.379
2013-08-27,4306.38,3732.098,1250.751,2340.881,1602.002
2013-08-28,4257.972,3703.92,1227.995,2328.056,1592.869
2013-08-29,4260.793,3701.083,1226.296,2318.311,1588.153
2013-08-30,4181.742,3664.148,1185.145,2313.91,1589.777
2013-09-02,4218.395,3689.959,1210.185,2320.344,1591.934
2013-09-03,4290.872,3744.871,1234.587,2354.502,1614.537
2013-09-04,4298.858,3755.239,1236.35,2350.699,1613.537
2013-09-05,4324.725,3762.569,1267.26,2341.735,1609.604
2013-09-06,4352.459,3792.832,1282.746,2357.782,1625.854
2013-09-09,4369.943,3831.927,1275.912,2440.609,1713.385
2013-09-10,4387.756,3870.923,1263.589,2474.894,1737.581
2013-09-11,4318.716,3834.258,1220.705,2482.889,1741.318
2013-09-12,4319.112,3845.068,1220.633,2507.455,1772.664
2013-09-13,4352.949,3849.82,1253.448,2488.902,1749.244
2013-09-16,4384.987,3854.207,1278.798,2478.39,1738.248
2013-09-17,4325.056,3786.292,1269.36,2427.322,1698.629
2013-09-18,4366.14,3822.123,1289.642,2432.51,1700.587
2013-09-23,4455.807,3899.625,1326.091,2472.288,1713.084
2013-09-24,4468.381,3903.518,1328.404,2443.885,1673.558
2013-09-25,4447.107,3889.221,1323.04,2429.03,1661.607
2013-09-26,4378.19,3808.216,1306.344,2384.443,1632.695
2013-09-27,4393.742,3822.758,1323.759,2394.971,1639.152
2013-09-30,4470.446,3872.893,1367.912,2409.037,1643.055
2013-10-08,4542.308,3938.068,1387.663,2441.811,1659.713
2013-10-09,4612.126,3981.058,1415.833,2453.583,1668.476
2013-10-10,4567.573,3959.63,1378.148,2429.317,1637.933
2013-10-11,4613.577,4026.916,1379.9,2468.508,1669.268
2013-10-14,4665.909,4068.32,1393.602,2472.542,1662.168
2013-10-15,4662.765,4074.083,1389.749,2467.517,1656.259
2013-10-16,4518.722,3963.212,1335.1,2421.371,1634.223
2013-10-17,4517.771,3956.965,1322.988,2413.33,1627.177
2013-10-18,4549.987,3970.641,1349.937,2426.054,1636.8
2013-10-21,4673.762,4069.033,1400.967,2471.322,1657.583
2013-10-22,4621.387,4026.516,1350.473,2445.891,1640.066
2013-10-23,4504.004,3924.219,1311.231,2418.491,1638.499
2013-10-24,4469.644,3898.156,1295.932,2400.511,1621.605
2013-10-25,4388.614,3821.779,1269.171,2368.559,1611.519
2013-10-28,4384.385,3808.703,1279.05,2365.954,1610.686
2013-10-29,4269.656,3703.86,1261.684,2372.053,1633.721
2013-10-30,4335.587,3764.453,1273.291,2407.471,1653.417
2013-10-31,4270.97,3713.829,1235.555,2373.718,1631.047
2013-11-01,4240.214,3702.445,1221.962,2384.96,1644.752
2013-11-04,4267.367,3728.188,1222.456,2380.454,1638.512
2013-11-05,4340.386,3777.404,1260.025,2383.769,1633.662
2013-11-06,4303.902,3737.106,1241.789,2353.568,1614.214
2013-11-07,4246.212,3685.04,1224.05,2340.552,1610.584
2013-11-08,4186.175,3629.94,1211.11,2307.945,1587.44
2013-11-11,4213.14,3645.84,1212.689,2315.889,1591.139
2013-11-12,4248.373,3680.536,1228.346,2340.0,1610.777
2013-11-13,4173.496,3611.76,1212.08,2288.116,1569.245
2013-11-14,4242.907,3659.83,1249.667,2304.501,1572.729
2013-11-15,4324.288,3736.452,1269.052,2350.734,1604.823
2013-11-18,4421.24,3827.882,1291.151,2428.903,1675.159
2013-11-19,4446.485,3840.365,1298.166,2412.163,1659.53
2013-11-20,4486.609,3878.584,1299.264,2424.85,1663.759
2013-11-21,4478.388,3865.41,1298.953,2409.989,1648.086
2013-11-22,4467.83,3842.756,1295.067,2397.962,1642.496
2013-11-25,4473.542,3839.602,1293.795,2388.629,1633.782
2013-11-26,4490.507,3845.676,1291.854,2387.416,1630.94
2013-11-27,4559.449,3889.755,1329.477,2414.481,1648.789
2013-11-28,4587.694,3922.666,1336.661,2439.53,1664.625
2013-11-29,4643.3,3946.383,1366.834,2438.944,1661.409
2013-12-02,4354.57,3770.865,1253.929,2418.788,1678.867
2013-12-03,4427.706,3859.955,1255.329,2442.784,1681.509
2013-12-04,4465.706,3932.998,1240.287,2475.135,1699.176
2013-12-05,4436.968,3928.724,1202.066,2468.197,1692.38
